Code du département;Département;Code INSEE;Nom de la commune;Numéro de l'installation;Nom usuel de l'installation;Numero de la voie;Nom de la voie;Nom du lieu dit;Code postal;Installation particulière;Multi commune;Nombre de couvert;Nombre de lit;Présence d'un internet;Aucun aménagement d'accessibilité;Accessibilité handicapés à mobilité réduite;Accessibilité handicapés sensoriels;Nombre total de place de parking;Nombre total de place de parking handicapés;Gardiennée avec ou sans logement de gardien;Emprise foncière en m2;Desserte métro;Desserte bus;Desserte Tram;Desserte train;Desserte bateau;Desserte autre;Date de création de la fiche installation;Date de mise à jour de la fiche installation;Nombre total de fiches équipements;Nombre total d'équipements sportifs;localisation1;localisation2;localisation
44;Loire-Atlantique;44001;Abbaretz;440010002;Terrain de Sports;;Le Bois Vert;;44170;Non;Non;0;0;Non;Oui;Non;Non;50;0;Non;0;Non;Oui;Non;Non;Non;Non;08/02/2005;05/06/2014;3;4;47.558178, -1.53423;47.5560384833, -1.49327262094;47.558178, -1.53423
44;Loire-Atlantique;44001;Abbaretz;440010003;Site de la Mine;;;;44170;Base de plein air et/ou de loisirs;Non;0;0;Non;Oui;Non;Non;50;2;Non;;Non;Oui;Non;Non;Non;Non;13/12/2005;05/06/2014;4;4;47.551745, -1.532452;47.5560384833, -1.49327262094;47.551745, -1.532452
44;Loire-Atlantique;44001;Abbaretz;440010004;Les 5 Tresors;;Rue de la Gare;;44170;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Oui;Non;Non;11/04/2005;17/06/2014;1;1;47.555628, -1.52499;47.5560384833, -1.49327262094;47.555628, -1.52499
44;Loire-Atlantique;44001;Abbaretz;440010005;Ecole Maternelle Louis Davy;22;Rue des Ecoles;;44170;Etablissement scolaire;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;05/06/2014;06/12/2014;1;1;47.550696, -1.532;47.5560384833, -1.49327262094;47.550696, -1.532
44;Loire-Atlantique;44001;Abbaretz;440010006;Salle Polyvalente;;Rue de la Mairie;;44170;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;05/06/2014;17/06/2014;1;1;47.553697, -1.531825;47.5560384833, -1.49327262094;47.553697, -1.531825
44;Loire-Atlantique;44001;Abbaretz;440010007;Zone de Loisirs de la Salle Polyvalente;;Rue de la Mairie;;44170;Non;Non;0;0;Non;Oui;Non;Non;150;1;Non;;Non;Oui;Non;Non;Non;Non;06/12/2014;04/11/2017;2;3;47.553697, -1.531825;47.5560384833, -1.49327262094;47.553697, -1.531825
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020001;Complexe Sportif des Richardieres;67;Rue de la Chapelle;;44140;Complexe sportif;Non;0;0;Non;Non;Oui;Non;215;3;Non;0;Non;Oui;Non;Non;Non;Non;08/02/2005;24/06/2015;12;13;47.075372, -1.402548;47.0719256611, -1.41556455507;47.075372, -1.402548
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020002;Poney Club de la Violette;;;La Violette;44140;Non;Non;0;0;Non;Non;Oui;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;21/09/2005;24/06/2015;2;2;47.076201, -1.40137;47.0719256611, -1.41556455507;47.076201, -1.40137
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020003;Circuits de Randonnee;;Chemin des Tanneries;;44140;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;11/10/2005;24/06/2015;3;3;47.077507, -1.397762;47.0719256611, -1.41556455507;47.077507, -1.397762
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020004;La Trelitiere;;;La Trélitière;44140;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;16/12/2005;26/10/2015;1;1;47.076201, -1.40137;47.0719256611, -1.41556455507;47.076201, -1.40137
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020005;Parc du Plessis;;D 117;Le Plessis;44140;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;11/08/2007;27/10/2015;1;1;47.076201, -1.40137;47.0719256611, -1.41556455507;47.076201, -1.40137
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020006;Terrains de Sports Mfr;;Avenue de Nantes;;44140;Non;Non;0;0;Non;Non;Oui;Non;0;0;Non;;Non;Oui;Non;Non;Non;Non;11/08/2007;27/10/2015;1;1;47.077232, -1.402325;47.0719256611, -1.41556455507;47.077232, -1.402325
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020007;Le Moulin Reusard;;;Le Moulin Reusard;44140;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;11/08/2007;10/07/2015;1;1;47.076201, -1.40137;47.0719256611, -1.41556455507;47.076201, -1.40137
44;Loire-Atlantique;44002;Aigrefeuille-sur-Maine;440020008;Site du Guidreau;;;Le Guidreau;44140;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;03/07/2008;27/10/2015;1;1;47.076201, -1.40137;47.0719256611, -1.41556455507;47.076201, -1.40137
