Code du département;Département;Code INSEE;Nom de la commune;Numéro de l'installation;Nom usuel de l'installation;Numero de la voie;Nom de la voie;Nom du lieu dit;Code postal;Installation particulière;Multi commune;Nombre de couvert;Nombre de lit;Présence d'un internet;Aucun aménagement d'accessibilité;Accessibilité handicapés à mobilité réduite;Accessibilité handicapés sensoriels;Nombre total de place de parking;Nombre total de place de parking handicapés;Gardiennée avec ou sans logement de gardien;Emprise foncière en m2;Desserte métro;Desserte bus;Desserte Tram;Desserte train;Desserte bateau;Desserte autre;Date de création de la fiche installation;Date de mise à jour de la fiche installation;Nombre total de fiches équipements;Nombre total d'équipements sportifs;localisation1;localisation2;localisation
85;Vendée;85090;Flocellière;850900006;Place d'Elbée;;Place d'Elbée;;85700;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Non;Non;Non;Non;Non;2005-11-17;2018-09-01;4;4;46.832423, -0.858489;46.8211105864, -0.854584153953;46.832423, -0.858489
85;Vendée;85092;Fontenay-le-Comte;850920008;Centre Equestre;4;Rue Ernest Cousseau;;85200;Non;Non;0;0;Non;Oui;Non;Non;0;0;Non;;Non;Oui;Non;Non;Non;Oui;2005-02-08;2016-01-06;4;5;46.472113, -0.789972;46.4563186117, -0.793449510859;46.472113, -0.789972
85;Vendée;85092;Fontenay-le-Comte;850920009;Aerodrome;;Aérodrome;Route de Maillezais;85200;Aérodrome/aéroport;Non;0;0;Non;Non;Oui;Non;40;2;Non;80000;Non;Non;Non;Non;Non;Non;2005-02-08;2016-05-31;2;2;46.466325, -0.806673;46.4563186117, -0.793449510859;46.466325, -0.806673
72;Sarthe;72084;Clermont-Créans;720840002;Départ N°2 de Circuits de Randonnées;;Place de l'Église;;72200;Non;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2010-10-20;2017-10-05;4;4;47.718184, -0.015041;47.732640164, -0.0240763113793;47.718184, -0.015041
72;Sarthe;72085;Cogners;720850001;Départ de Circuits de Randonnées;;Le Bourg;;72120;Non;Oui;0;0;Non;Oui;Non;Non;5;0;Non;;Non;Non;Non;Non;Non;Non;2005-05-08;2013-02-10;1;1;;47.8617807064, 0.654044888377;47.8617807064, 0.654044888377
72;Sarthe;72089;Conlie;720890002;Camping de la Gironde;;Route de Tennie;;72240;Non;Non;0;20;Non;Non;Oui;Non;20;0;Non;;Non;Non;Non;Non;Non;Non;2005-08-24;2017-10-05;4;4;48.121988, -0.026734;48.1222946721, -0.0126744450375;48.121988, -0.026734
72;Sarthe;72090;Connerré;720900005;Plan d'Eau de Connerré;;;"""Le Petit Port""";72450;Non;Non;0;0;Non;Oui;Non;Non;100;2;Non;200000;Non;Non;Non;Oui;Non;Non;2011-05-13;2017-11-10;1;1;;48.0507447506, 0.467977281249;48.0507447506, 0.467977281249
72;Sarthe;72093;Cormes;720930003;Ecole de Cormes;;Le Bourg;;72400;Etablissement scolaire;Non;0;0;Non;Oui;Non;Non;10;0;Non;;Non;Non;Non;Non;Non;Non;2005-02-12;2017-10-05;1;1;48.181884, 0.745717;48.1679248052, 0.708991713095;48.181884, 0.745717
72;Sarthe;72094;Coudrecieux;720940001;Terrain de Football;;Route du Freuil;;72440;Non;Non;0;0;Non;Oui;Non;Non;10;0;Sans logement de gardien;;Non;Non;Non;Non;Non;Non;2005-02-08;2017-10-05;1;1;47.99111, 0.629831;47.9853818366, 0.625962425017;47.99111, 0.629831
72;Sarthe;72095;Coulaines;720950001;Centre de l'Herberie;;Boulevard St Germain;;72190;Non;Non;0;0;Non;Non;Oui;Non;20;0;Sans logement de gardien;200;Non;Oui;Non;Non;Non;Non;2005-02-08;2017-10-05;1;1;48.024697, 0.201519;48.0332041252, 0.211301706062;48.024697, 0.201519
